,Security Description,Record Date,Average Interest Rate Amount
1835,Treasury Notes,11/30/14,1.809
1836,Treasury Bonds,11/30/14,4.9
1851,Treasury Notes,10/31/14,1.807
1852,Treasury Bonds,10/31/14,4.919
1866,Treasury Bills,10/31/14,0.056
1868,Treasury Bills,9/30/14,0.057
1869,Treasury Notes,9/30/14,1.805
1870,Treasury Bonds,9/30/14,4.934
1884,Treasury Bills,8/31/14,0.062
1885,Treasury Notes,8/31/14,1.803
1886,Treasury Bonds,8/31/14,4.949
1901,Treasury Bills,7/31/14,0.066
1902,Treasury Notes,7/31/14,1.803
1903,Treasury Bonds,7/31/14,4.967
1919,Treasury Bills,6/30/14,0.068
1920,Treasury Notes,6/30/14,1.8
1921,Treasury Bonds,6/30/14,4.981
1935,Treasury Bills,5/31/14,0.072
1936,Treasury Notes,5/31/14,1.805
1937,Treasury Bonds,5/31/14,4.994
1953,Treasury Bills,4/30/14,0.08
1954,Treasury Notes,4/30/14,1.808
1955,Treasury Bonds,4/30/14,5.011
1970,Treasury Bills,3/31/14,0.084
1971,Treasury Notes,3/31/14,1.805
1972,Treasury Bonds,3/31/14,5.025
1986,Treasury Bills,2/28/14,0.084
1987,Treasury Notes,2/28/14,1.802
1988,Treasury Bonds,2/28/14,5.037
